wave,tau,tau_err,tau0,tau0_err,tau_corr,tau_corr_err
1928,0.0010343073796454138,0.15572597447762254,0.3923591788072233,0.1399473822107065,0.39339348618686876,0.29567335668832906
2236,-0.15018706165390228,0.28073218955833684,0.3923591788072233,0.1399473822107065,0.24217211715332104,0.42067957176904336
2600,0.15563258987173628,0.2929798648059786,0.3923591788072233,0.1399473822107065,0.5479917686789596,0.43292724701668506
3467,1.0580313599080697,0.372036112292976,0.3923591788072233,0.1399473822107065,1.450390538715293,0.5119834945036825
4392,0.8983093344622342,0.5353853644138199,0.3923591788072233,0.1399473822107065,1.2906685132694575,0.6753327466245264
4770,0.7527252383859633,0.1658590171725659,0.3923591788072233,0.1399473822107065,1.1450844171931867,0.30580639938327236
5468,1.4803833555323913,1.4040282452533683,0.3923591788072233,0.1399473822107065,1.8727425343396147,1.5439756274640748
6215,1.495952332280896,0.29200768710425673,0.3923591788072233,0.1399473822107065,1.8883115110881195,0.4319550693149632
7545,1.8253572621750118,0.30077110854701083,0.3923591788072233,0.1399473822107065,2.217716440982235,0.4407184907577173
8700,2.059382535397962,0.6867364127669904,0.3923591788072233,0.1399473822107065,2.451741714205185,0.8266837949776968
