wave,agn_b,agn_b_err,agn_f,agn_f_err,agn_rms,agn_rms_err,gal,gal_err,unred_agn_b,unred_agn_b_err,unred_agn_f,unred_agn_f_err,unred_agn_rms,unred_agn_rms_err,unred_gal,unred_gal_err
1928,8.193754437976713,0.21057137934534484,5.298614680337815,0.1986531882003193,0.6040133783117361,0.005369624908292018,0.4655053339106004,0.18446031632628335,9.069262091525752,0.23307105951403087,5.86477488698767,0.21987940238428308,0.6685525757652196,0.005943372601060082,0.5152448624370704,0.20417001350383465
2236,6.740689194047223,0.04266583821519008,4.3574107978302274,0.037156795291757604,0.4967412488111532,0.013756954512648675,0.14997467766855405,0.1517003615782958,7.568649026862227,0.04790648932053361,4.892632199057844,0.041720769854606946,0.5577560485561416,0.015446723233686135,0.16839608911096243,0.17033373902599977
2600,4.1293456373542,0.1632108783310863,2.6700083180966003,0.12199709155465625,0.30368916025885995,0.011340514332975603,1.2833135237340387,0.09274396988157607,4.484728262272761,0.17725724679970623,2.8997964365955724,0.1324964903545356,0.32982546862593054,0.012316509588766716,1.3937589474671574,0.10072576611672984
3467,3.132421421529177,0.11894525276640502,2.0258441673274796,0.099315781055804,0.23085824236754116,0.00498564213945581,0.6845644549379571,0.07050205499201442,3.3321759853986466,0.12653039342704386,2.1550322820973173,0.10564914999326741,0.24558007615492733,0.0053035766179813934,0.7282191411167782,0.07499797216013165
4392,1.2978191664098797,0.060426827518860464,0.8391094311998302,0.042506838884301026,0.09578424874790911,0.004506386960876705,1.1902462085292485,0.02925165808826825,1.3656254023668841,0.06358390504624153,0.8829497855098035,0.044727663496676194,0.10078862034270643,0.004741828958877119,1.2524321565806393,0.030779948686683035
4770,1.1293852300901874,0.03245600992395132,0.7303586201148116,0.02957143195522432,0.08327115973100982,0.000913060823408126,0.9749434207410503,0.025430271938299696,1.1830547394054023,0.03399835179326115,0.765065988089306,0.030976695810727737,0.08722828805516479,0.0009564503817817085,1.0212737016825593,0.026638743751386917
5468,1.1049941467788982,0.03695956557713032,0.7145486009140322,0.030568394655850883,0.08128057882013486,0.0019988062041319562,0.9737315313484555,0.024822366223496883,1.1481160618235984,0.03840189651757189,0.7424335486793616,0.031761312936228185,0.08445251798821377,0.0020768087452102527,1.011730980027486,0.025791048248300627
6215,0.4586986519458577,0.0108598465514258,0.29659388182700896,0.009837353473898875,0.03377929825019175,0.000637961077402584,1.132287341300784,0.010315897402680378,0.4736217653019225,0.011213156334284125,0.3062431452387144,0.010157397887354005,0.034878260051665354,0.0006587162408076854,1.169124712141506,0.010651510567569087
7545,0.34733969962892874,0.01319165217146312,0.22461635436989602,0.010586809933407758,0.025633308948626653,0.000724216867746344,0.9767380043108395,0.00782818468420197,0.3556603647588503,0.01350766361601268,0.2299971313712361,0.010840421312539258,0.026247365390090743,0.0007415657801925624,1.000136164274186,0.00801571206273662
8700,0.29552913754851673,0.008530143848821123,0.1910836852816967,0.006951760122768227,0.02178216839095643,0.0005859464814224328,0.8058555461757865,0.006652080592815116,0.3010834589066986,0.00869046360801946,0.19467500694684378,0.0070824149544614625,0.022191553279786693,0.0005969590505501785,0.8210011954639168,0.0067771030986144105
