Object,Filter,Cadence,MJD,Duration,Flux,Error
NGC5548,W1,2001,56705.97892,152.77284,2.9030218,0.045235525
NGC5548,U,2001,56705.98029,75.77407998,2.1946707,0.0407258
NGC5548,B,2001,56705.98122,75.76305997,1.4601705,0.027143028
NGC5548,HX,2001,56705.98256,942.7439232,0.496456,0.033132
NGC5548,SX,2001,56705.98256,942.7439232,0.201884,0.021132
NGC5548,W2,2001,56705.98349,305.77736,3.5269747,0.046476835
NGC5548,V,2001,56705.98575,75.77410001,1.2643317,0.029336219
NGC5548,M2,2001,56705.9876,233.79858,3.1626604,0.05120569
NGC5548,W1,2002,56707.71993,163.7616,2.8571343,0.043666182
NGC5548,U,2002,56707.7214,81.76495999,2.2042708,0.039860873
NGC5548,B,2002,56707.7224,81.76495999,1.4617265,0.02640598
NGC5548,HX,2002,56707.72389,1007.93808,0.374687,0.026143
NGC5548,SX,2002,56707.72389,1007.93808,0.139477,0.01617
NGC5548,W2,2002,56707.72484,327.77696,3.3630616,0.043915898
NGC5548,V,2002,56707.72726,81.76493996,1.2488688,0.028217084
NGC5548,M2,2002,56707.7292,244.50048,3.2214042,0.051228897
NGC5548,W1,2003,56709.05714,59.76534003,2.7593514,0.061785405
NGC5548,U,2003,56709.05771,29.76682001,2.2017463,0.058330437
NGC5548,HX,2003,56709.05796,398.659968,0.434504,0.045651
NGC5548,SX,2003,56709.05796,398.659968,0.099691,0.022054
NGC5548,B,2003,56709.05811,29.76682001,1.3972722,0.038573436
NGC5548,W2,2003,56709.05905,120.77738,3.327837,0.05953685
NGC5548,V,2003,56709.05997,29.77784002,1.25301525,0.04333182
NGC5548,M2,2003,56709.06068,84.46803999,3.0433243,0.07235167
NGC5548,W1,2004,56709.59806,92.76480001,2.7198177,0.051296845
NGC5548,U,2004,56709.59892,46.75752002,2.1616892,0.0478221
NGC5548,B,2004,56709.59951,46.7906,1.4741916,0.033218994
NGC5548,HX,2004,56709.59995,579.1860288,0.303023,0.028143
NGC5548,SX,2004,56709.59995,579.1860288,0.095465,0.01545
NGC5548,W2,2004,56709.60093,186.77628,3.207584,0.04976951
