Object,Filter,Cadence,MJD,Duration,Flux,Error
NGC4151,W1,3001,57438.04004,79.76755399,5.3997747,0.08359261
NGC4151,U,3001,57438.04152,39.78082001,4.143142,0.07067475
NGC4151,B,3001,57438.04278,39.77366,3.3169068,0.055308636
NGC4151,HX,3001,57438.04337,872.5399488,0.806381,0.06544
NGC4151,SX,3001,57438.04337,872.5399488,0.122796,0.026189
NGC4151,W2,3001,57438.04468,199.76204,5.767032,0.07956523
NGC4151,V,3001,57438.04641,39.75936002,3.079787,0.06505536
NGC4151,M2,3001,57438.04825,192.35896,5.3034745,0.08213247
NGC4151,W1,3002,57438.35906,79.75419199,5.2454314,0.081628793
NGC4151,U,3002,57438.36054,39.77828002,4.1322418,0.07036686
NGC4151,B,3002,57438.3618,39.77472001,3.2916246,0.05492897
NGC4151,HX,3002,57438.36293,967.8180672,0.64268,0.04617
NGC4151,SX,3002,57438.36293,967.8180672,0.135165,0.021172
NGC4151,W2,3002,57438.36371,199.77308,5.80526,0.079898405
NGC4151,V,3002,57438.36543,39.77116001,3.060367,0.064522804
NGC4151,M2,3002,57438.36784,286.93314,5.2920592,0.073608
NGC4151,W1,3003,57438.49159,79.77608097,5.233083,0.081774964
NGC4151,U,3003,57438.49308,39.77462,3.902513,0.067424013
NGC4151,B,3003,57438.49434,39.77822,3.2513234,0.05463226
NGC4151,HX,3003,57438.49622,1098.198086,0.723507,0.046164
NGC4151,SX,3003,57438.49622,1098.198086,0.162621,0.021936
NGC4151,W2,3003,57438.49624,199.76206,5.754542,0.079582557
NGC4151,V,3003,57438.49798,39.77823997,2.9877678,0.06385621
NGC4151,M2,3003,57438.50111,413.38146,5.281664192,0.05835395
NGC4151,W1,3004,57438.69195,79.775711,5.234588,0.08153611
NGC4151,U,3004,57438.69344,39.71766001,4.0648918,0.06948283
NGC4151,B,3004,57438.6947,39.87804002,3.4356612,0.05673015
NGC4151,HX,3004,57438.69536,885.0760704,0.837752,0.060696
NGC4151,SX,3004,57438.69536,885.0760704,0.209718,0.030626
NGC4151,W2,3004,57438.69661,199.7731,5.87785,0.08073923
NGC4151,V,3004,57438.69833,39.77112001,3.1632523,0.066046685
NGC4151,M2,3004,57438.70026,205.54332,5.3345146,0.080874065
NGC4151,W1,3005,57438.8931,79.77109998,5.2510872,0.08195102
NGC4151,HX,3005,57438.89836,1208.517926,0.830722,0.048466
NGC4151,SX,3005,57438.89836,1208.517926,0.181279,0.022749
NGC4151,W1,3006,57439.03531,79.75724,5.3154208,0.082681697
NGC4151,U,3006,57439.0368,39.77094001,4.009326,0.06887499
NGC4151,B,3006,57439.03805,39.76734,3.3382985,0.05576008
NGC4151,HX,3006,57439.0394,1075.631962,0.733054,0.051389
NGC4151,SX,3006,57439.0394,1075.631962,0.15986,0.024112
NGC4151,W2,3006,57439.03995,199.7731,5.788303,0.079959434
NGC4151,V,3006,57439.04168,39.78172004,3.2197518,0.067162455
NGC4151,M2,3006,57439.04449,357.7645199,5.32283903,0.06343796
NGC4151,W1,3007,57439.35696,79.76287198,5.2482355,0.08169661
NGC4151,U,3007,57439.35844,39.77827996,4.2494044,0.072035763
NGC4151,B,3007,57439.3597,39.78184003,3.339888,0.05556442
NGC4151,HX,3007,57439.3605,907.6420224,0.656514,0.053722
NGC4151,SX,3007,57439.3605,907.6420224,0.158129,0.026521
NGC4151,W2,3007,57439.36163,199.76206,5.775468,0.079578237
NGC4151,V,3007,57439.36335,39.77471995,3.0494677,0.064393324
NGC4151,M2,3007,57439.36541,227.88496,5.3607082,0.07893862
NGC4151,W1,3008,57439.56444,79.77153897,5.2102508,0.08136988
NGC4151,U,3008,57439.56592,39.77304006,3.9611445,0.06808208
NGC4151,B,3008,57439.56718,39.78382003,3.3039482,0.05523838
