Object,Filter,MJD,Flux,Error
Mrk142,W2,58594.037,6.42,0.173
Mrk142,W2,58596.498,7.215,0.155
Mrk142,W2,58597.357,7.238,0.158
Mrk142,W2,58602.479,6.809,0.149
Mrk142,W2,58603.941,6.362,0.347
Mrk142,M2,58484.353,5.104,0.174
Mrk142,M2,58484.819,4.936,0.187
Mrk142,M2,58485.145,5.258,0.178
Mrk142,M2,58485.939,4.972,0.197
Mrk142,M2,58486.071,4.714,0.164
Mrk142,M2,58487.728,4.873,0.148
Mrk142,M2,58488.199,4.927,0.15
Mrk142,M2,58488.799,5.127,0.155
Mrk142,M2,58489.785,4.964,0.144
Mrk142,M2,58490.72,5.098,0.314
Mrk142,M2,58491.049,4.965,0.161
Mrk142,M2,58491.646,4.919,0.154
Mrk142,M2,58492.045,4.672,0.16
Mrk142,M2,58492.639,4.748,0.144
Mrk142,M2,58493.236,4.557,0.16
Mrk142,M2,58493.979,4.581,0.151
Mrk142,M2,58494.298,4.586,0.155
Mrk142,M2,58494.83,4.92,0.157
Mrk142,M2,58495.035,4.838,0.157
Mrk142,M2,58496.222,4.845,0.17
Mrk142,M2,58496.822,5.138,0.168
Mrk142,M2,58498.281,5.019,0.192
Mrk142,M2,58498.88,5.168,0.174
Mrk142,M2,58499.875,5.435,0.159
Mrk142,M2,58500.208,5.327,0.169
Mrk142,M2,58500.681,5.741,0.171
Mrk142,M2,58501.07,5.549,0.166
Mrk142,M2,58501.674,5.532,0.174
Mrk142,M2,58502.067,5.013,0.161
Mrk142,M2,58503.062,4.805,0.153
Mrk142,M2,58503.792,4.717,0.161
Mrk142,M2,58504.258,4.982,0.159
Mrk142,M2,58505.917,5.383,0.155
Mrk142,M2,58506.315,5.399,0.168
Mrk142,M2,58507.38,5.374,0.167
Mrk142,M2,58507.842,5.415,0.168
Mrk142,M2,58508.245,5.698,0.188
Mrk142,M2,58508.849,6.056,0.176
Mrk142,M2,58509.24,6.28,0.187
Mrk142,M2,58509.782,6.064,0.19
Mrk142,M2,58510.84,6.382,0.196
Mrk142,M2,58511.231,6.159,0.18
Mrk142,M2,58511.772,6.017,0.185
