Object,Filter,Cadence,MJD,Duration,Flux,Error
NGC4593,SX,4013,57583.58861,967.8180672,0.527662,0.032078
NGC4593,W2,4013,57583.5896,313.7762,1.3579065,0.023350912
NGC4593,V,4013,57583.59193,77.77105999,1.3460409,0.031211512
NGC4593,M2,4013,57583.59381,239.62398,1.3199535,0.02866189
NGC4593,W1,4014,57583.65736,157.78176,1.3310751,0.026129076
NGC4593,U,4014,57583.65878,78.77504003,1.1604919,0.02370475
NGC4593,B,4014,57583.65975,78.764,1.1682391,0.022883453
NGC4593,HX,4014,57583.66061,890.091936,0.511618,0.042102
NGC4593,SX,4014,57583.66061,890.091936,0.696506,0.049152
NGC4593,W2,4014,57583.6621,316.76612,1.3363741,0.023000264
NGC4593,V,4014,57583.66445,78.77504003,1.338099,0.0309078
NGC4593,M2,4014,57583.66585,154.59328,1.279051,0.033689158
NGC4593,W1,4015,57583.72804,123.7673,1.3643751,0.029266015
NGC4593,U,4015,57583.72917,61.77329999,1.2218197,0.027046718
NGC4593,B,4015,57583.72994,61.77329999,1.1691644,0.02524664
NGC4593,HX,4015,57583.73075,767.2340736,0.558409,0.047789
NGC4593,SX,4015,57583.73075,767.2340736,0.661486,0.052257
NGC4593,W2,4015,57583.73179,247.7773,1.3190255,0.024978366
NGC4593,V,4015,57583.73364,61.78434002,1.32233685,0.033850354
NGC4593,M2,4015,57583.73511,185.49648,1.30477065,0.031569585
NGC4593,W1,4016,57583.84246,106.75452,1.4236948,0.032041046
NGC4593,U,4016,57583.84345,52.77046001,1.10755114,0.027073068
NGC4593,B,4016,57583.84411,52.77046001,1.13752146,0.027054306
NGC4593,HX,4016,57583.84463,651.8980224,0.604327,0.053967
NGC4593,SX,4016,57583.84463,651.8980224,0.726851,0.05913
NGC4593,W2,4016,57583.84571,212.76982,1.3570426,0.026972192
NGC4593,V,4016,57583.8473,52.77045995,1.3870124,0.037385432
NGC4593,M2,4016,57583.84852,146.47304,1.3198043,0.03512165
NGC4593,U,4017,57583.91034,69.77218002,1.09387554,0.02405988
NGC4593,B,4017,57583.9112,69.77218002,1.123983,0.023691922
NGC4593,HX,4017,57583.9122,852.482016,0.738268,0.068614
NGC4593,SX,4017,57583.9122,852.482016,0.937051,0.07728
NGC4593,V,4017,57583.91538,69.72806001,1.2880118,0.03170408
NGC4593,U,4018,57583.97938,79.7349,1.14171215,0.02346882
NGC4593,B,4018,57583.98036,79.76800001,1.1203032,0.022197623
NGC4593,HX,4018,57583.98154,952.7739264,0.631113,0.04508
NGC4593,SX,4018,57583.98154,952.7739264,0.825244,0.051599
NGC4593,W2,4018,57583.98275,321.73094,1.2309621,0.021674959
NGC4593,V,4018,57583.98513,79.76800001,1.38594775,0.031580408
NGC4593,M2,4018,57583.98695,226.1969,1.26760005,0.028577155
NGC4593,HX,4019,57584.0424,265.7740032,0.494731,0.061349
NGC4593,SX,4019,57584.0424,265.7740032,0.797652,0.077883
NGC4593,W1,4019,57584.04276,157.77074,1.31867605,0.02605604
NGC4593,U,4019,57584.04417,78.77504003,1.1460445,0.023716142
NGC4593,W1,4020,57584.10971,146.77092,1.377452,0.02756583
NGC4593,U,4020,57584.11104,72.78417999,1.12633435,0.024050995
NGC4593,B,4020,57584.11194,72.78416002,1.1561386,0.02363422
NGC4593,HX,4020,57584.1132,920.1800448,0.548669,0.03805
NGC4593,SX,4020,57584.1132,920.1800448,0.806201,0.046117
NGC4593,W2,4020,57584.11412,293.77352,1.3460913,0.023756609
NGC4593,V,4020,57584.1163,72.77311999,1.30997686,0.031420862
