Object,Filter,Cadence,MJD,Duration,Flux,Error
Mrk509,SX,1011,57840.29549,616.7959488,1.87971,0.108937
Mrk509,W2,1011,57840.29658,201.7369,5.670529,0.07918973
Mrk509,V,1011,57840.29809,49.76950002,1.2936697,0.0369809
Mrk509,M2,1011,57840.29925,142.56736,4.925918,0.08635062
Mrk509,W1,1012,57841.35304,153.7768,4.2127512,0.06272262
Mrk509,U,1012,57841.35443,76.77807999,2.94501,0.05444643
Mrk509,B,1012,57841.35537,76.77805996,1.656894,0.030960113
Mrk509,HX,1012,57841.3567,960.2960832,1.319532,0.079127
Mrk509,SX,1012,57841.3567,960.2960832,2.016691,0.097927
Mrk509,W2,1012,57841.35768,307.87356,5.501014,0.06917151
Mrk509,V,1012,57841.35996,76.77807999,1.2624186,0.030403888
Mrk509,M2,1012,57841.36185,241.8415599,4.6956108,0.07065542
Mrk509,W1,1013,57842.93827,91.22017998,4.200696,0.07466487
Mrk509,W1,1014,57843.59634,181.7783999,4.1078767,0.05844174
Mrk509,U,1014,57843.59797,90.77886003,2.859927,0.04999398
Mrk509,B,1014,57843.59908,90.76783997,1.5909418,0.028065486
Mrk509,HX,1014,57843.60085,1133.299987,0.86498,0.078869
Mrk509,SX,1014,57843.60085,1133.299987,1.357474,0.099468
Mrk509,W2,1014,57843.60178,363.7885,5.1188325,0.062647706
Mrk509,V,1014,57843.60447,90.76784003,1.1929687,0.027132652
Mrk509,M2,1014,57843.60672,289.13972,4.3926753,0.063841265
Mrk509,W1,1015,57844.7266,170.75652,4.0292602,0.058568374
Mrk509,U,1015,57844.72813,84.77696002,2.8354914,0.050647975
Mrk509,B,1015,57844.72918,84.77693999,1.591698,0.028754437
Mrk509,HX,1015,57844.73058,1033.008077,0.972252,0.055484
Mrk509,SX,1015,57844.73058,1033.008077,1.416754,0.067004
Mrk509,W2,1015,57844.73173,341.87712,5.0572665,0.062867526
Mrk509,V,1015,57844.73427,84.77698004,1.2456177,0.028653603
Mrk509,M2,1015,57844.73618,237.89184,4.4256286,0.067789397
Mrk509,HX,1016,57845.66469,298.3680576,0.684362,0.084413
Mrk509,SX,1016,57845.66469,298.3680576,1.254042,0.115224
Mrk509,W1,1016,57845.66489,158.77478,3.976802,0.059196486
Mrk509,U,1016,57845.66632,78.76402003,2.8081966,0.051382014
Mrk509,B,1016,57845.66712,51.25896001,1.591324,0.034960396
Mrk509,U,1017,57846.73199,80.73888004,2.6566509,0.04823466
Mrk509,B,1017,57846.73298,80.72788,1.5218758,0.028173758
Mrk509,HX,1017,57846.73431,990.3840192,0.973869,0.066223
